同	35
居	18
长	142
干	6
里	56
两	33
小	21
无	114
嫌	5
猜	5
低	3
头	23
向	44
暗	7
壁	14
千	91
唤	1
不	289
一	159
回	58
常	8
存	11
抱	9
柱	6
信	10
岂	23
上	100
望	40
夫	26
台	40
五	61
月	148
可	93
触	2
猿	21
声	38
天	190
哀	20
苔	12
深	30
能	23
扫	16
落	80
叶	24
秋	79
风	153
早	14
感	10
此	124
伤	15
妾	19
心	99
坐	26
愁	54
红	21
颜	39
老	25
相	141
迎	8
道	77
远	52
直	13
至	18
沙	39
忆	18
闺	10
烟	35
尘	25
曾	9
识	11
南	46
兴	24
思	59
君	156
下	61
巴	9
陵	37
去	129
来	143
悲	53
如	102
何	149
见	98
少	19
离	20
别	47
多	45
昨	7
夜	45
狂	10
度	12
吹	31
折	12
江	73
树	44
好	22
乘	34
浮	23
云	177
骢	1
佳	9
期	15
兰	18
渚	8
东	68
自	71
怜	8
十	36
余	15
色	43
桃	26
花	87
高	60
堂	16
明	91
镜	21
白	131
发	45
朝	50
青	101
丝	11
暮	12
成	69
雪	41
烹	1
羊	7
宰	5
牛	13
且	42
为	121
乐	48
会	17
须	12
饮	21
三	78
百	34
杯	24
与	75
歌	70
曲	22
请	5
我	122
倾	33
耳	9
听	14
古	64
圣	16
贤	25
皆	16
寂	22
寞	2
惟	13
有	110
者	19
留	27
其	31
名	45
主	21
人	245
言	41
钱	5
径	7
沽	5
取	12
对	24
酌	9
呼	14
儿	13
将	54
出	52
换	8
美	29
酒	73
尔	29
销	4
万	85
蚕	2
丛	4
及	25
鱼	17
凫	2
开	49
国	30
茫	18
然	58
！	4
地	54
崩	3
山	162
摧	21
壮	18
士	24
死	21
后	31
梯	8
石	58
栈	1
钩	4
连	32
黄	48
鹤	17
之	88
飞	81
尚	11
得	65
过	27
猱	1
欲	56
攀	25
援	2
扪	6
参	6
历	18
井	10
仰	14
胁	2
息	13
以	23
手	43
抚	8
膺	2
叹	24
但	25
鸟	25
号	4
木	16
雄	14
雌	2
从	43
绕	15
林	14
间	46
蜀	4
难	38
,	2
于	22
使	18
凋	8
朱	12
湍	7
瀑	2
流	84
争	10
喧	11
豗	1
砯	2
崖	11
转	24
壑	13
雷	9
剑	40
阁	14
峥	4
嵘	4
而	17
崔	7
嵬	4
当	43
关	46
莫	31
避	5
猛	4
虎	21
夕	10
蛇	2
；	1
磨	2
牙	2
吮	1
血	9
杀	16
麻	7
侧	6
身	40
西	66
咨	3
嗟	10
八	10
丈	8
倒	17
湖	23
照	38
影	17
送	23
剡	6
溪	28
脚	1
著	9
谢	23
公	46
屐	1
登	30
岩	11
路	25
定	10
迷	13
倚	16
忽	31
已	43
暝	6
兮	24
雨	19
水	131
澹	5
生	85
冥	21
浩	10
荡	13
底	3
日	116
耀	4
金	99
银	13
鼓	15
瑟	10
鸾	18
车	17
仙	43
列	13
觉	15
时	101
枕	8
席	8
失	24
霞	22
还	56
放	5
鹿	6
潭	10
尺	11
汪	2
伦	3
情	44
子	79
胥	3
既	6
弃	15
吴	36
屈	7
原	8
终	22
投	20
湘	10
滨	6
华	15
亭	16
唳	2
讵	4
闻	38
？	11
蔡	2
苍	36
鹰	5
足	30
前	35
载	16
看	15
厌	4
只	9
敬	1
岸	7
孤	22
帆	12
片	5
边	22
事	47
了	9
拂	24
衣	45
藏	8
炙	1
啖	1
亥	1
持	12
觞	8
劝	6
侯	13
嬴	3
眼	8
热	2
意	39
气	25
素	34
霓	3
二	30
烜	1
赫	5
大	47
梁	15
城	31
谁	43
书	45
首	18
太	23
玄	6
经	14
待	15
雁	14
却	25
也	1
寄	21
伊	7
处	24
是	32
归	84
程	1
短	7
闲	28
垂	21
钓	11
碧	33
复	42
舟	11
梦	23
破	6
浪	19
挂	21
济	9
沧	23
海	81
挥	20
兹	8
萧	13
班	1
马	38
鸣	45
随	25
平	26
野	14
尽	58
入	57
荒	15
几	30
玉	97
门	57
戍	4
客	54
苦	32
空	77
唯	6
际	3
又	9
疑	13
瑶	13
在	51
端	9
蟾	1
蜍	1
蚀	1
圆	6
残	6
阴	13
精	16
沦	5
惑	1
观	22
宫	32
草	80
埋	4
幽	28
晋	7
代	4
冠	16
丘	18
莺	4
羽	9
披	4
新	21
绣	9
晚	21
理	4
妆	8
腰	4
肢	1
窈	3
窕	3
帐	3
鸳	8
鸯	5
喷	8
麝	1
灯	5
香	12
灺	1
中	99
柳	10
起	30
故	24
园	12
灞	1
咸	6
阳	49
音	13
绝	29
汉	36
家	31
阙	11
蓬	24
莱	5
文	16
章	10
建	5
安	58
骨	20
清	83
抽	2
刀	8
断	28
更	17
举	26
消	3
姑	6
鬓	9
半	9
霜	35
女	35
笑	60
亿	1
场	2
怀	22
肠	15
羞	16
逐	14
社	1
赤	17
鸡	18
雉	2
赌	2
梨	3
栗	2
昔	30
燕	24
重	32
郭	5
隗	1
拥	9
篲	2
节	10
昭	2
王	48
萦	6
蔓	4
兵	14
愿	28
斩	8
单	2
驱	4
静	7
铁	3
满	22
春	72
殿	8
今	49
鹧	1
鸪	1
胡	39
塞	13
合	20
征	14
蕙	6
宵	4
宁	14
知	51
晓	11
没	21
光	62
樽	7
把	7
芙	7
蓉	7
虚	18
步	7
蹑	8
恍	5
驾	6
鸿	21
凌	24
紫	41
涂	5
豺	3
狼	3
缨	9
迁	5
吾	27
访	18
到	18
称	6
飒	12
芦	4
益	5
庐	4
秀	14
斗	13
傍	8
屏	7
九	31
叠	4
锦	30
张	14
河	22
炉	2
布	8
遥	32
波	33
窥	13
行	82
彩	19
京	15
动	32
物	20
功	22
竹	19
帛	4
宣	4
富	5
贵	20
神	19
蹉	5
跎	5
畏	3
强	7
欢	26
顾	29
所	42
横	27
翠	19
微	15
憩	5
聊	6
共	18
醉	38
陶	6
忘	6
机	7
施	4
采	18
隘	1
若	39
耶	4
轩	14
冕	1
卧	13
松	39
传	17
乃	23
绿	46
灵	6
每	7
皎	3
洁	4
移	6
枫	2
纷	14
寒	37
螀	1
爱	13
凤	22
栖	16
梧	12
托	12
怪	2
愚	4
织	3
秦	31
川	23
纱	3
隔	16
窗	18
语	23
广	6
六	26
亲	12
徒	20
揖	4
隆	1
准	2
齐	15
七	16
指	13
楚	32
旋	10
龙	57
砰	1
訇	1
震	4
阊	2
阖	2
